"collection_no","record_type","authorization","release_on","formation","lng","lat","collection_name","container_no","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"120825","col","","","","-120.434166","34.035831","San Miguel Island, west","","","1","Late Pleistocene","","0.129","0.0117","38588"
"120826","col","","","","-120.421387","34.044445","San Miguel Island V-2","","","2","Late Pleistocene","","0.129","0.0117","40658"
"120827","col","","","","-120.379440","34.050835","San Miguel Island  V-6","","Simonton Cove","32","Late Pleistocene","","0.129","0.0117","40658"
"120828","col","","","","-120.367775","34.066666","San Miguel Island V-8","","Simonton Cove north","8","Late Pleistocene","","0.129","0.0117","40658"
"120829","col","","","","-120.345276","34.043888","San Miguel Island V-10","","Gull Rock west","28","Late Pleistocene","","0.129","0.0117","38588"
"120830","col","","","","-120.337502","34.046112","San Miguel Island V-11","","Gull Rock east","12","Late Pleistocene","","0.129","0.0117","40658"
"120884","col","","","Dolores","-56.264721","-34.423332","Casil Quarry","","","2","Middle Pleistocene","Late Pleistocene","0.774","0.0117","38600"
"120885","col","","","Buchak","39.066387","49.528332","Ikovo","","Novopskov","6","Lutetian","","48.07","41.03","38603"
"120887","col","","","La Meseta","-56.665833","-64.241386","RV-8405","","","2","Late Eocene","","37.71","33.9","38605"
"120898","col","","","","-2.391389","51.203056","Microlestes Quarry, Frome","","Holwell","1","Rhaetian","","205.7","201.4","29873"
"121125","col","","","Kauru","171.020004","-44.790001","J40/f223 - Waihao River floodplain [Kauru Fm]","","","1","Waipawan","Mangaorapan","56","48.9","38537"
"121126","col","","","Almejas","-115.194168","28.077499","Arroyo Tiberon","","LACM 65151","4","Zanclean","","5.333","3.6","38651"
"121127","col","","","Almejas","-115.194168","28.077499","Arroyo Esqueletos","","LACM 65147","2","Zanclean","","5.333","3.6","38651"
"121151","col","","","San Diego","-117.084999","32.710556","UCMP V3717","","","2","Late Pliocene","","3.6","2.58","38665"
"121152","col","","","Monterey","-117.705559","33.602501","LACM 1945","","Leisure World","18","Langhian","Serravallian","15.98","11.63","38666"
"121154","col","","","","8.413889","52.278332","Barkhausen tracksite (Unit 9)","","","2","Early Kimmeridgian","","154.8","152.21","62684"
"121155","col","","","","8.413889","52.278332","Barkhausen tracksite (Unit 10)","","","1","Early Kimmeridgian","","154.8","152.21","38671"
"121156","col","","","","8.413889","52.278332","Barkhausen tracksite (Unit 12)","","","1","Early Kimmeridgian","","154.8","152.21","38671"
"121187","col","","","La Colonia","-67.695831","-43.105278","El Uruguayo, Estancia El Pino, Sierra de La Colonia","","","1","Maastrichtian","","72.2","66","38680"
"121195","col","","","Tendaguru","39.230824","-9.709442","Tendaguru quarry M 1","","British Expedition, Ditch 3X, Ditch III","2","Tithonian","","149.2","143.1","38687"
"121237","col","","","Tendaguru","39.227077","-9.709909","Tendaguru quarry M 3","","British Expedition","1","Tithonian","","149.2","143.1","38687"
"121238","col","","","Tendaguru","39.227077","-9.709909","Tendaguru quarry M 4","","British Expedition","1","Tithonian","","149.2","143.1","38687"
"121239","col","","","Tendaguru","39.229855","-9.698075","Tendaguru quarry M 5","","British Expedition","1","Tithonian","","149.2","143.1","38687"
"121240","col","","","Tendaguru","39.222183","-9.707524","Tendaguru quarry M 6","","British Expedition","1","Tithonian","","149.2","143.1","38687"
"121241","col","","","Tendaguru","39.223057","-9.705830","Tendaguru quarry M 7","","British Expedition","1","Tithonian","","149.2","143.1","38687"
"121242","col","","","Tendaguru","39.227566","-9.712549","Tendaguru quarry M 8","","British Expedition, +M 8","1","Tithonian","","149.2","143.1","38687"
