"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","reference_no","is_extant","n_occs"
"143832","143832","txn","","","Petroicidae","","143832","family","Petroicidae","39441","29521","extant","29"
"143831","143831","txn","","","Petroica","","143831","genus","Petroica","143832","29521","extant","27"
"143833","143834","txn","","","Petroica australis","","143833","species","Petroica australis","143831","29521","extant","17"
"372460","372461","txn","","","Petroica traversi","","372460","species","Petroica traversi","143831","65172","extant","2"
"374027","374028","txn","","","Petroica macrocephala","","374027","species","Petroica macrocephala","143831","65172","extant","8"
"372459","372459","txn","","","Miro","subjective synonym of","143831","genus","Petroica","143832","65172","extant","27"
"372922","372922","txn","","","Eopsaltria","","372922","genus","Eopsaltria","143832","65172","extant","2"
"158463","158463","txn","","","Sylviidae","","158463","family","Sylviidae","39441","31261","extant","20"
"430377","430377","txn","","","Regulus","","430377","genus","Regulus","158463","58139","extant","1"
"430378","430379","txn","","","Regulus ignicapilla","","430378","species","Regulus ignicapilla","430377","58139","extant","0"
"430369","430369","txn","","","Hippolais","","430369","genus","Hippolais","158463","58139","extant","0"
"430364","430364","txn","","","Locustella","","430364","genus","Locustella","158463","58139","extant","1"
"368101","368101","txn","","","Sylvia","","368101","genus","Sylvia","158463","65172","extant","11"
"373322","373322","txn","","","Sylvia sarda","","373322","species","Sylvia sarda","368101","65172","extant","1"
"369326","369327","txn","","","Sylvia borin","","369326","species","Sylvia borin","368101","65172","extant","2"
"379219","379219","txn","","","Sylvia communis","","379219","species","Sylvia communis","368101","65172","extant","1"
"430372","430374","txn","","","Sylvia atricapilla","","430372","species","Sylvia atricapilla","368101","58139","extant","2"
"186402","186402","txn","","","Pachycephalidae","","186402","family","Pachycephalidae","39441","36280","extant","0"
"186403","186403","txn","","","Myiagrinae","","186403","subfamily","Myiagrinae","186402","36280","extant","0"
"372903","372903","txn","","","Colluricincla","","372903","genus","Colluricincla","186402","65172","extant","0"
"372906","372906","txn","","","Myiolestes","subjective synonym of","372903","genus","Colluricincla","186402","65172","extant","0"
"373413","373413","txn","","","Climacteridae","","373413","family","Climacteridae","39441","65172","extant","1"
"373412","373412","txn","","","Climacteris","","373412","genus","Climacteris","373413","65172","extant","1"
"39445","39445","txn","","","Corvidae","","39445","family","Corvidae","39441","4783","extant","492"
"373104","373104","txn","","","Cyanopica","","373104","genus","Cyanopica","39445","65172","extant","3"
"373106","373106","txn","","","Cyanopica cooki","","373106","species","Cyanopica cooki","373104","65172","extant","3"
"373103","373105","txn","","","Cyanopica cyanus","","373103","species","Cyanopica cyanus","373104","65172","extant","0"
"368476","368476","txn","","","Garrulus","","368476","genus","Garrulus","39445","65172","extant","17"
"370620","370620","txn","","","Garrulus lidthi","","370620","species","Garrulus lidthi","368476","65172","extant","1"
"369039","369040","txn","","","Garrulus glandarius","","369039","species","Garrulus glandarius","368476","12782","extant","16"
"93747","93747","txn","","","Pica","","93747","genus","Pica","39445","19817","extant","28"
"369409","369410","txn","","","Pica hudsonia","","369409","species","Pica hudsonia","93747","65172","extant","1"
"369556","369557","txn","","","Pica nuttalli","","369556","species","Pica nuttalli","93747","65172","extant","5"
