taxon_no,accepted_name,accepted_rank,parent_no,is_extant,n_occs
38625,Avetheropoda,order,55483,extinct,1
64492,Avetheropoda,order,38625,extinct,1
67950,Protoavia,suborder,55483,,0
67933,Compsognathia,suborder,55483,extinct,0
68139,Shanyangosaurus,genus,55483,extinct,1
68140,Shanyangosaurus niupanggouensis,species,68139,extinct,1
53002,Coeluria,infraorder,55483,extinct,0
38575,Bahariasaurus,genus,55483,extinct,5
66415,Bahariasaurus ingens,species,38575,extinct,5
91967,Carnosauria,infraorder,55483,extinct,153
57106,Aublysodontidae,family,53943,extinct,0
67231,Changpeipus,genus,53943,extinct,8
451705,Changpeipus longweimaoensis,species,67231,extinct,1
141639,Changpeipus bartholomaii,species,67231,extinct,1
67232,Changpeipus carbonicus,species,67231,extinct,2
347798,Changpeipus,genus,67231,extinct,1
66621,Itemiridae,family,53943,extinct,0
133299,Bosiutrisauropus,genus,53943,extinct,1
133300,Bosiutrisauropus phuthiatsani,species,133299,extinct,1
66623,Streptospondylidae,family,53943,extinct,0
38535,Shanshanosauridae,family,53943,extinct,0
382262,Carnosauria,infraorder,55483,extinct,153
374087,Kleitotrisauropus,genus,53943,extinct,0
38603,Dryptosauridae,family,53943,extinct,3
65419,Abelichnus,genus,53943,extinct,2
65420,Abelichnus astigarrae,species,65419,extinct,2
54474,Carnosauria,infraorder,53943,extinct,0
133337,Mafatrisauropus,genus,53943,extinct,3
133338,Mafatrisauropus errans,species,133337,extinct,2
243332,Kayentavenator,genus,53374,extinct,1
243334,Kayentavenator elysiae,species,243332,extinct,1
64572,Tetanurae,unranked clade,53374,extinct,0
65374,Tetanurae,unranked clade,53374,extinct,1
68143,Tetanurae,unranked clade,53374,extinct,1
68144,Tetanurae,unranked clade,68143,extinct,1
38530,Tetanurae,unranked clade,53374,extinct,2
63789,Tetanurae,unranked clade,38530,extinct,2
425462,Yunyangosaurus,genus,53374,extinct,1
425463,Yunyangosaurus puanensis,species,425462,extinct,1
160849,Cruxicheiros,genus,53374,extinct,1
160850,Cruxicheiros newmanorum,species,160849,extinct,1
65226,Tetanurae,unranked clade,53374,extinct,7
65690,Tetanurae,unranked clade,65226,extinct,2
65227,Tetanurae,unranked clade,65226,extinct,1
68078,Tetanurae,unranked clade,65226,extinct,0
64341,Tetanurae,unranked clade,53374,extinct,1
57581,Tetanurae,unranked clade,53374,extinct,2
67929,Eustreptospondylidae,family,53374,extinct,0
68130,Becklespinax,genus,53374,extinct,1
68131,Becklespinax altispinax,species,68130,extinct,1
54164,Ceratosauria,suborder,92043,extant,387
54535,Noasauridae,family,90100,extinct,67
453520,Elaphrosaurinae,subfamily,54535,extinct,8
148870,Limusaurus,genus,453520,extinct,3
148871,Limusaurus inextricabilis,species,148870,extinct,3
38546,Elaphrosaurus,genus,453520,extinct,4
55481,Elaphrosaurus bambergi,species,38546,extinct,2
437534,Himalayadrinda,genus,54535,extinct,1
437535,Himalayadrinda potwari,species,437534,extinct,1
64903,Noasauridae,family,90100,extinct,67
491461,Kiyacursor,genus,54535,extinct,2
491462,Kiyacursor longipes,species,491461,extinct,2
167086,Austrocheirus,genus,54535,extinct,1
167087,Austrocheirus isasii,species,167086,extinct,1
416254,Huinculsaurus,genus,54535,extinct,1
416255,Huinculsaurus montesi,species,416254,extinct,1
65366,Deltadromeus,genus,54535,extinct,6
65367,Deltadromeus agilis,species,65366,extinct,5
444933,Berthasaura,genus,54535,extinct,1
444934,Berthasaura leopoldinae,species,444933,extinct,1
67928,Noasaurinae,subfamily,54535,extinct,33
56388,Masiakasaurus,genus,67928,extinct,29
56389,Masiakasaurus knopfleri,species,56388,extinct,29
388269,Vespersaurus,genus,67928,extinct,1
388270,Vespersaurus paranaensis,species,388269,extinct,1
38630,Noasaurus,genus,67928,extinct,1
54534,Noasaurus leali,species,38630,extinct,1
64901,Velocisaurus,genus,67928,extinct,2
64902,Velocisaurus unicus,species,64901,extinct,2
54536,Ligabueino,genus,54535,extinct,1
54537,Ligabueino andesi,species,54536,extinct,1
38623,Laevisuchus,genus,54535,extinct,2
38622,Laevisuchus,genus,54535,extinct,2
56390,Laevisuchus indicus,species,38623,extinct,2
57444,Laevisuchus indicus,species,38623,extinct,2
38541,Ceratosauria,suborder,90100,extinct,1
68146,Ceratosauria,suborder,38541,extinct,1
38599,Ceratosauridae,family,90100,extinct,6
64340,Ceratosauridae,family,38599,extinct,1
311426,Fosterovenator,genus,38599,extinct,1
311427,Fosterovenator churei,species,311426,extinct,1
53015,Ceratosauridae,family,90100,extinct,6
109007,Berberosaurus,genus,38599,extinct,1
109009,Berberosaurus liassicus,species,109007,extinct,1
390562,Saltriovenator,genus,90100,extinct,1
390563,Saltriovenator zanellai,species,390562,extinct,1
71392,Spinostropheus,genus,90100,extinct,3
71393,Spinostropheus gautieri,species,71392,extinct,3
55480,Neoceratosauria,unranked clade,90100,extinct,6
54528,Abelisauroidea,superfamily,90100,extinct,42
53947,Abelisauroidea,superfamily,90100,extinct,42
38624,Abelisauroidea,superfamily,54528,extinct,0
57449,Abelisauroidea,superfamily,54528,extinct,1
437493,Vitakrisauridae,family,54528,extinct,12
437491,Vitakrisaurus,genus,437493,extinct,3
437495,Vitakrisaurus saraiki,species,437491,extinct,3
437512,Rajasaurinae,subfamily,437493,extinct,0
120844,Samanadrinda,genus,437493,extinct,1
120845,Samanadrinda surghari,species,120844,extinct,1
437492,Vitakrisaurinae,subfamily,437493,extinct,8
119559,Vitakridrinda,genus,437492,extinct,8
119560,Vitakridrinda sulaimani,species,119559,extinct,8
57448,Abelisauroidea,superfamily,54528,extinct,2
57440,Ceratosauria,suborder,90100,extinct,1
57441,Ceratosauria,suborder,57440,extinct,1
38600,Ceratosaurus,genus,90100,extinct,29
398128,Ceratosaurus,genus,38600,extinct,2
54165,Ceratosaurus nasicornis,species,38600,extinct,6
65574,Ceratosaurus nasicornis,species,38600,extinct,6
65573,Ceratosaurus nasicornis,species,38600,extinct,6
56384,Ceratosauria,suborder,90100,extinct,1
56383,Ceratosauria,suborder,56384,extinct,1
66985,Ceratosauria,suborder,90100,extinct,1
65468,Ceratosauroidea,superfamily,90100,,2
453519,Etrigansauria,unranked clade,65468,extinct,2
378708,Chenanisaurus,genus,453519,extinct,2
378709,Chenanisaurus barbaricus,species,378708,extinct,2
56375,Ceratosauria,suborder,90100,extinct,0
53942,Abelisauridae,family,90100,extant,210
71394,Rugops,genus,53942,extinct,1
71395,Rugops primus,species,71394,extinct,1
438220,Spectrovenator,genus,53942,extinct,1
438221,Spectrovenator ragei,species,438220,extinct,1
38612,Indosuchus,genus,53942,extinct,1
53958,Indosuchus raptorius,species,38612,extinct,1
57450,Lametasaurus,genus,53942,extinct,1
57451,Lametasaurus indicus,species,57450,extinct,1
38620,Abelisauridae,family,53942,extinct,2
57443,Abelisauridae,family,38620,extinct,1
38621,Abelisauridae,family,53942,extinct,0
56393,Xenotarsosaurus,genus,53942,extinct,1
56394,Xenotarsosaurus bonapartei,species,56393,extinct,1
138556,Brachyrostra,unranked clade,53942,extinct,28
54523,Aucasaurus,genus,138556,extinct,2
54524,Aucasaurus garridoi,species,54523,extinct,1
172843,Rahiolisaurus,genus,138556,extinct,1
172844,Rahiolisaurus gujaratensis,species,172843,extinct,1
54531,Ilokelesia,genus,138556,extinct,1
54532,Ilokelesia aguadagrandensis,species,54531,extinct,1
336873,Furileusauria,unranked clade,138556,extinct,12
53941,Pycnonemosaurus,genus,336873,extinct,1
53944,Pycnonemosaurus nevesi,species,53941,extinct,1
435367,Llukalkan,genus,336873,extinct,1
435368,Llukalkan aliocranianus,species,435367,extinct,1
497371,Caletodraco,genus,336873,extinct,1
497372,Caletodraco cottardi,species,497371,extinct,1
336874,Viavenator,genus,336873,extinct,1
336875,Viavenator exxoni,species,336874,extinct,1
54538,Quilmesaurus,genus,336873,extinct,1
54539,Quilmesaurus curriei,species,54538,extinct,1
472264,Elemgasem,genus,336873,extinct,1
472265,Elemgasem nubilus,species,472264,extinct,1
67926,Abelisaurinae,subfamily,336873,extinct,2
427781,Niebla,genus,67926,extinct,1
427782,Niebla antiqua,species,427781,extinct,1
53946,Abelisaurus,genus,67926,extinct,1
53945,Abelisaurus comahuensis,species,53946,extinct,1
491504,Koleken,genus,336873,extinct,1
491505,Koleken inakayali,species,491504,extinct,1
54533,Carnotaurus,genus,336873,extinct,1
54526,Carnotaurus sastrei,species,54533,extinct,1
65415,Ekrixinatosaurus,genus,138556,extinct,1
65416,Ekrixinatosaurus novasi,species,65415,extinct,1
265640,Dahalokely,genus,138556,extinct,1
265641,Dahalokely tokana,species,265640,extinct,1
460113,Guemesia,genus,138556,extinct,1
460114,Guemesia ochoai,species,460113,extinct,1
138555,Skorpiovenator,genus,138556,extinct,2
138557,Skorpiovenator bustingorryi,species,138555,extinct,2
379317,Thanos,genus,138556,extinct,1
379318,Thanos simonattoi,species,379317,extinct,1
54525,Carnotaurini,tribe,138556,extinct,0
54527,Carnotaurinae,subfamily,53942,extinct,35
453518,Majungasaurini,tribe,54527,extinct,34
38582,Majungasaurus,genus,285747,extinct,25
38789,Majungasaurus,genus,285747,extinct,25
53957,Majungasaurus crenatissimus,species,38582,extinct,25
56395,Majungasaurus crenatissimus,species,38582,extinct,25
285748,Arcovenator,genus,285747,extinct,6
285749,Arcovenator escotae,species,285748,extinct,1
54432,Rajasaurus,genus,285747,extinct,1
54433,Rajasaurus narmadensis,species,54432,extinct,1
38591,Indosaurus,genus,285747,extinct,1
54099,Indosaurus matleyi,species,38591,extinct,1
56391,Genusaurus,genus,285747,extinct,1
56392,Genusaurus sisteronis,species,56391,extinct,1
65137,Tarascosaurus,genus,53942,extinct,1
65138,Tarascosaurus salluvicus,species,65137,extinct,1
242129,Eoabelisaurus,genus,53942,extinct,1
242130,Eoabelisaurus mefi,species,242129,extinct,1
450832,Tralkasaurus,genus,53942,extinct,1
450833,Tralkasaurus cuyi,species,450832,extinct,1
57442,Abelisauridae,family,53942,extinct,1
515479,Vitosaura,genus,53942,extinct,1
515480,Vitosaura colozacani,species,515479,extinct,1
38604,Abelisauridae,family,53942,extinct,1
57445,Abelisauridae,family,38604,extinct,1
123315,Kryptops,genus,53942,extinct,1
123316,Kryptops palaios,species,123315,extinct,1
68147,Abelisauridae,family,53942,extinct,1
443993,Kurupi,genus,53942,extant,1
443994,Kurupi itaata,species,443993,extinct,1
38611,Genyodectes,genus,90100,extinct,1
57033,Genyodectes serus,species,38611,extinct,1
162971,Dinoaves,unranked clade,56397,extant,0
55476,Coelophysoidea,superfamily,56397,extinct,80
335179,Dracoraptor,genus,55476,extinct,1
335180,Dracoraptor hanigani,species,335179,extinct,1
38514,Coelophysoidea,superfamily,55476,extinct,1
65112,Coelophysoidea,superfamily,55476,extinct,1
65113,Coelophysoidea,superfamily,55476,extinct,1
357843,Podokesaurinae,subfamily,55476,extinct,0
442503,Pendraig,genus,55476,extinct,1
442504,Pendraig milnerae,species,442503,extinct,1
96663,Lophostropheus,genus,55476,extinct,1
96666,Lophostropheus airelensis,species,96663,extinct,1
56376,Coelophysoidea,superfamily,55476,extinct,1
55544,Sarcosaurus,genus,55476,extinct,4
57252,Sarcosaurus woodi,species,55544,extinct,4
80686,Sarcosaurus woodi,species,55544,extinct,4
80688,Sarcosaurus woodi,species,55544,extinct,4
38525,Syntarsus,genus,55476,extinct,11
55540,Syntarsus kayentakatae,species,38525,extinct,6
55478,Coelophysidae,family,55476,extinct,46
38517,Procompsognathus,genus,55478,extinct,1
56382,Procompsognathus triassicus,species,38517,extinct,1
116376,Procompsognathus triassicus,species,38517,extinct,1
56396,Coelophysinae,subfamily,55478,extinct,30
38520,Coelophysis,genus,56396,extinct,26
55477,Coelophysis bauri,species,38520,extinct,6
66655,Coelophysis bauri,species,38520,extinct,6
66651,Coelophysis bauri,species,38520,extinct,6
54211,Coelophysis bauri,species,38520,extinct,6
38521,Coelophysis,genus,56396,extinct,26
54411,Podokesaurus holyokensis,species,38520,extinct,1
66650,Coelophysis,genus,56396,extinct,26
372123,Lepidus,genus,56396,extinct,1
372124,Lepidus praecisio,species,372123,extinct,1
38524,Segisaurus,genus,56396,extinct,2
55543,Segisaurus halli,species,38524,extinct,1
66658,Camposaurus,genus,56396,extinct,1
66659,Camposaurus arizonensis,species,66658,extinct,1
371994,Panguraptor,genus,55478,extinct,1
371995,Panguraptor lufengensis,species,371994,extinct,1
370733,Lucianovenator,genus,55478,extinct,1
370734,Lucianovenator bonoi,species,370733,extinct,1
101006,Megapnosaurus,genus,55478,extinct,8
101008,Megapnosaurus rhodesiensis,species,101006,extinct,6
71796,Procompsognathinae,subfamily,55478,extinct,0
370731,Powellvenator,genus,55478,extinct,1
370732,Powellvenator podocitus,species,370731,extinct,1
67922,Halticosaurinae,subfamily,55478,extinct,0
65102,Coelophysoidea,superfamily,55476,extinct,0
65489,Gojirasaurus,genus,55476,extinct,1
65490,Gojirasaurus quayi,species,65489,extinct,1
141036,Wildeichnus,genus,38513,extinct,5
141037,Wildeichnus navesi,species,141036,extinct,2
67358,Bradycnemidae,family,38513,extinct,0
159287,Carmelopodus,genus,38513,extinct,12
214919,Carmelopodus untermannorum,species,159287,extinct,3
131248,Carmelopodus,genus,159287,extinct,1
63790,Theropoda,unranked clade,38513,extinct,11
65566,Elongatoolithidae,family,38513,extinct,257
81709,Heishanoolithus,genus,65566,extinct,0
81056,Ellipsoolithus,genus,65566,extinct,1
81057,Ellipsoolithus khedaensis,species,81056,extinct,1
67338,Continuoolithus,genus,65566,extinct,28
67339,Continuoolithus canadensis,species,67338,extinct,22
65568,Continuoolithus canadensis,species,67338,extinct,22
285523,Undulatoolithus,genus,65566,extinct,2
285524,Undulatoolithus pengi,species,285523,extinct,2
67185,Elongatoolithus,genus,65566,extinct,91
395945,Elongatoolithus yangjiagouensis,species,67185,extinct,1
162722,Elongatoolithus laijiaensis,species,67185,extinct,1
84318,Elongatoolithus sigillarius,species,67185,extinct,1
84317,Elongatoolithus frustrabilis,species,67185,extinct,3
395946,Elongatoolithus jianchangensis,species,67185,extinct,5
67193,Elongatoolithus andrewsi,species,67185,extinct,25
293937,Elongatoolithus taipinghuensis,species,67185,extinct,0
67188,Elongatoolithus elongatus,species,67185,extinct,34
162721,Elongatoolithus chichengshanensis,species,67185,extinct,1
84316,Elongatoolithus magnus,species,67185,extinct,1
395947,Elongatoolithus chimeiensis,species,67185,extinct,1
84320,Elongatoolithus subtitectorius,species,67185,extinct,2
84319,Elongatoolithus excellens,species,67185,extinct,1
81708,Trachoolithus,genus,65566,extinct,2
81710,Trachoolithus faticanus,species,81708,extinct,1
67189,Nanhsiungoolithus,genus,65566,extinct,6
67190,Nanhsiungoolithus chuetienensis,species,67189,extinct,5
67183,Macroolithus,genus,65566,extinct,51
515545,Macroolithus lashuyuanensis,species,67183,extinct,2
81707,Macroolithus mutabilis,species,67183,extinct,1
67192,Macroolithus rugustus,species,67183,extinct,19
67184,Macroolithus yaotunensis,species,67183,extinct,26
98798,Macroelongatoolithus,genus,65566,extinct,29
98801,Macroelongatoolithus zhangi,species,98798,extinct,2
340765,Macroelongatoolithus,genus,65566,extinct,29
395857,Macroelongatoolithus,genus,65566,extinct,29
98799,Macroelongatoolithus carlylei,species,98798,extinct,23
395859,Macroelongatoolithus carlylei,species,98798,extinct,23
340767,Macroelongatoolithus carlylei,species,98798,extinct,23
395858,Macroelongatoolithus carlylei,species,98798,extinct,23
340767,Longiteresoolithus xixiaensis,species,98798,extinct,0
82906,Macroelongatoolithus,genus,65566,extinct,29
65567,Spongioolithus,genus,65566,extinct,0
171394,Paraelongatoolithus,genus,65566,extinct,1
171396,Paraelongatoolithus reticulatus,species,171394,extinct,1
82631,Porituberoolithus,genus,65566,extinct,8
82632,Porituberoolithus warnerensis,species,82631,extinct,5
455704,Rodolphoolithus,genus,65566,extinct,1
455705,Rodolphoolithus arioul,species,455704,extinct,1
86813,Reticuloolithus,genus,38513,extinct,3
86814,Reticuloolithus hirschi,species,86813,extinct,3
65345,Theropoda,unranked clade,38513,extinct,5
452478,Wakinyantanka,genus,38513,extinct,1
452479,Wakinyantanka styxi,species,452478,extinct,1
167571,Theropoda,unranked clade,38513,extinct,1
58859,Hadrosaurichnus,genus,38513,extinct,3
165605,Hadrosaurichnus,genus,58859,extinct,1
58860,Hadrosaurichnus,genus,58859,extinct,1
486705,Iliosuchidae,family,38513,extinct,0
56606,Theropoda,unranked clade,38513,extinct,1
56607,Theropoda,unranked clade,56606,extinct,1
460254,Filichnites,genus,38513,extinct,1
460255,Filichnites oncalensis,species,460254,extinct,1
370735,Shuangbaisaurus,genus,38513,extinct,1
370736,Shuangbaisaurus anlongbaoensis,species,370735,extinct,1
67269,Sigilmassasauridae,family,38513,extinct,0
68774,Moraesichnium,genus,38513,extinct,5
68775,Moraesichnium barberenae,species,68774,extinct,5
503085,Ralikhomopus,genus,38513,extinct,1
503086,Ralikhomopus aviator,species,503085,extinct,1
81017,Theropoda,unranked clade,38513,extinct,1
157465,Theropoda,unranked clade,81017,extinct,1
67240,Jialingpus,genus,38513,extinct,12
67241,Jialingpus yuechiensis,species,67240,extinct,1
69224,Coeluroidea,superfamily,38513,extinct,1
66527,Theropoda,unranked clade,38513,extinct,0
292659,Paracorpulentapus,genus,38513,extinct,2
292660,Paracorpulentapus zhangsanfengi,species,292659,extinct,2
72345,Ageroolithus,genus,38513,extinct,3
72346,Ageroolithus fontllongensis,species,72345,extinct,2
205712,Paragrallator,genus,38513,extinct,0
65109,Theropoda,unranked clade,38513,extinct,1
68290,Eutynichnium,genus,38513,extinct,3
217437,Eutynichnium,genus,68290,extinct,0
461042,Eutynichnium atlasicus,species,68290,extinct,0
68291,Eutynichnium lusitanicum,species,68290,extinct,1
368778,Megalosauropus (Eutynichnium) gomesi,species,68290,extinct,1
156127,Compsognatha,superfamily,38513,extinct,0
67048,Selenichnus,genus,38513,extinct,4
67376,Selenichnus breviusculus,species,67048,extinct,2
67375,Selenichnus falcatus,species,67048,extinct,2
92297,Spinosauria,suborder,38513,extinct,0
